rmmg-20100708-zpp_de11-014;rmmg-20100708-zpp;de11-014;IN KLEINERE NETZWERKE UNTERTEILT WERDEN;in kleinere netzwerke unterteilt werden;3
rmmg-20100708-zpp_de11-015;rmmg-20100708-zpp;de11-015;DEN KERN DES NETZWERKS BILDET EIN BESONDERER BEREICH;den kern des netzwerks bildet ein besonderer bereich;3
rmmg-20100708-zpp_de11-016;rmmg-20100708-zpp;de11-016;EIN VIRTUELLER LINK KANN DIESE VERBINDUNG HERSTELLEN;ein virtueller link kann diese verbindung herstellen;3
rmmg-20100708-zpp_de11-017;rmmg-20100708-zpp;de11-017;ALLE BEREICHE MÜSSEN MITEINANDER VERBUNDEN SEIN;alle bereiche müssen miteinander verbunden sein;3
rmmg-20100708-zpp_de11-018;rmmg-20100708-zpp;de11-018;EINER DER ROUTER BESITZT DIE HÖCHSTE PRIORITÄT;einer der router besitzt die höchste priorität;3
rmmg-20100708-zpp_de11-019;rmmg-20100708-zpp;de11-019;WAS IST WENN ZWEI ROUTER KEINE UNTERSCHIEDLICHE PRIORITÄT HABEN;was ist wenn zwei router keine unterschiedliche priorität haben;3
rmmg-20100708-zpp_de11-020;rmmg-20100708-zpp;de11-020;DIESES PROTOKOLL ERMÖGLICHT EIN ROUTING OHNE SCHLEIFEN;dieses protokoll ermöglicht ein routing ohne schleifen;3
rmmg-20100708-zpp_de11-021;rmmg-20100708-zpp;de11-021;ES IST FÜR GROßE NETZWERKE SEHR GUT GEEIGNET;es ist für große netzwerke sehr gut geeignet;3
rmmg-20100708-zpp_de11-022;rmmg-20100708-zpp;de11-022;UND BASIERT AUF EINEM OFFENEN STANDARD;und basiert auf einem offenen standard;3
robin-20070821_de1_de1-01;robin-20070821_de1;de1-01;HAST DU MICH VERSTANDEN;hast du mich verstanden;3
robin-20070821_de1_de1-02;robin-20070821_de1;de1-02;ICH HABE DICH JETZT VERSTEHEN KÖNNEN;ich habe dich jetzt verstehen können;2
robin-20070821_de1_de1-03;robin-20070821_de1;de1-03;DER SCHMERZ WIRD MIT DER ZEIT NACHLASSEN;der schmerz wird mit der zeit nachlassen;2
robin-20070821_de1_de1-04;robin-20070821_de1;de1-04;ICH VERMISSE IHN DU AUCH;ich vermisse ihn du auch;2
robin-20070821_de1_de1-05;robin-20070821_de1;de1-05;DAS LEBEN WIRD WEITERGEHEN;das leben wird weitergehen;2
robin-20070821_de1_de1-06;robin-20070821_de1;de1-06;DAS IST ES WAS WIR TUN;das ist es was wir tun;2
robin-20070821_de1_de1-07;robin-20070821_de1;de1-07;ICH WEIß NICHT WAS ICH MACHEN SOLL;ich weiß nicht was ich machen soll;2
robin-20070821_de1_de1-08;robin-20070821_de1;de1-08;ICH GLAUBE SIE BEFINDET SICH IN GROßER GEFAHR;ich glaube sie befindet sich in großer gefahr;2
robin-20070821_de1_de1-09;robin-20070821_de1;de1-09;BIST DU DIR DA GANZ SICHER;bist du dir da ganz sicher;2
robin-20070821_de1_de1-10;robin-20070821_de1;de1-10;DAS IST SEHR GUT ICH BIN ERLEICHTERT;das ist sehr gut ich bin erleichtert;2
robin-20070821_de1_de1-11;robin-20070821_de1;de1-11;ER WÜRDE SOLCHE DINGE NIEMALS ZU MIR SAGEN;er würde solche dinge niemals zu mir sagen;2
robin-20070821_de1_de1-12;robin-20070821_de1;de1-12;DAS IST DER EINZIGE GRUND WARUM ER DAS GETAN HAT;das ist der einzige grund warum er das getan hat;2
robin-20070821_de1_de1-13;robin-20070821_de1;de1-13;WIR WERDEN KEINEN WEITEREN SOLDATEN VERLIEREN;wir werden keinen weiteren soldaten verlieren;2
robin-20070821_de1_de1-14;robin-20070821_de1;de1-14;ER HAT DIE TÜR HINTER SICH GESCHLOSSEN;er hat die tür hinter sich geschlossen;2
robin-20070821_de1_de1-15;robin-20070821_de1;de1-15;HAST DU DIE POLIZEI ANGERUFEN;hast du die polizei angerufen;2
robin-20070821_de1_de1-16;robin-20070821_de1;de1-16;BITTE ERINNERE MICH DARAN IHR DIE BRILLE ZU GEBEN;bitte erinnere mich daran ihr die brille zu geben;2
robin-20070821_de1_de1-17;robin-20070821_de1;de1-17;DIE TÜR WAR DIE GANZE NACHT GEÖFFNET;die tür war die ganze nacht geöffnet;2
robin-20070821_de1_de1-18;robin-20070821_de1;de1-18;ICH WERDE GLEICH WEGLAUFEN;ich werde gleich weglaufen;2
robin-20070821_de1_de1-19;robin-20070821_de1;de1-19;DIE BEIDEN KÄMPFTEN GEGENEINANDER UND ER GEWANN;die beiden kämpften gegeneinander und er gewann;2
robin-20070821_de1_de1-20;robin-20070821_de1;de1-20;ICH BIN DER EIGENTÜMER DIESES HAUSES;ich bin der eigentümer dieses hauses;2
robin-20070821_de1_de1-21;robin-20070821_de1;de1-21;ER ARBEITET SEIT EINIGEN JAHREN FÜR MICH;er arbeitet seit einigen jahren für mich;2
robin-20070821_de1_de1-22;robin-20070821_de1;de1-22;FÜR WIE DUMM HÄLTST DU MICH;für wie dumm hältst du mich;2
robin-20070821_de1_de1-23;robin-20070821_de1;de1-23;WENN ICH IM LOTTO GEWINNE DANN KAUFE ICH MIR EIN HAUS;wenn ich im lotto gewinne dann kaufe ich mir ein haus;2
robin-20070821_de1_de1-24;robin-20070821_de1;de1-24;HAST DU DARÜBER SCHON NACHGEDACHT;hast du darüber schon nachgedacht;2
robin-20070821_de1_de1-25;robin-20070821_de1;de1-25;ICH WERDE GEWINNEN UND WAS IST WENN DU VERLIERST;ich werde gewinnen und was ist wenn du verlierst;2
robin-20070821_de1_de1-26;robin-20070821_de1;de1-26;WENN DU GEWINNST DANN WIRD ER IN FREIHEIT LEBEN KÖNNEN;wenn du gewinnst dann wird er in freiheit leben können;2
robin-20070821_de1_de1-27;robin-20070821_de1;de1-27;WAR DAS SCHNELL GENUG ICH GLAUBE SCHON;war das schnell genug ich glaube schon;2
robin-20070821_de1_de1-28;robin-20070821_de1;de1-28;WENN DAS SO LEICHT GEWESEN WÄRE WÄRE SIE SCHON FERTIG;wenn das so leicht gewesen wäre wäre sie schon fertig;2
robin-20070821_de1_de1-29;robin-20070821_de1;de1-29;WER KENNT DIESEN SCHAUSPIELER ICH NICHT;wer kennt diesen schauspieler ich nicht;2
robin-20070821_de1_de1-30;robin-20070821_de1;de1-30;SAG DAS NOCHMAL ES WAR FALSCH DAMIT AUFZUHÖREN;sag das nochmal es war falsch damit aufzuhören;2
robin-20070821_de1_de1-31;robin-20070821_de1;de1-31;NUR NOCH EINE SACHE DIE ICH ZU SAGEN HABE;nur noch eine sache die ich zu sagen habe;2
robin-20070821_de1_de1-32;robin-20070821_de1;de1-32;DAS WAR VOR EINER SEHR LANGEN ZEIT;das war vor einer sehr langen zeit;2
robin-20070821_de1_de1-33;robin-20070821_de1;de1-33;WER WAR SIE DAS WAR BEVOR ICH DICH KENNEN GELERNT HABE;wer war sie das war bevor ich dich kennen gelernt habe;2
robin-20070821_de1_de1-34;robin-20070821_de1;de1-34;ICH WEIß DASS DAS DUMM KLINGT ABER ES IST SO;ich weiß dass das dumm klingt aber es ist so;2
robin-20070821_de1_de1-35;robin-20070821_de1;de1-35;DARAN MUSS ES LIEGEN GLAUBST DU DASS ES SO IST;daran muss es liegen glaubst du dass es so ist;2
robin-20070821_de1_de1-36;robin-20070821_de1;de1-36;DAS SCHULDVERHÄLTNIS WURDE DURCH ERFÜLLUNG BEENDET;das schuldverhältnis wurde durch erfüllung beendet;2
robin-20070821_de1_de1-37;robin-20070821_de1;de1-37;DIE EINWILLIGUNG DES SCHULDNERS WAR NICHT ERFORDERLICH;die einwilligung des schuldners war nicht erforderlich;2
robin-20070821_de1_de1-38;robin-20070821_de1;de1-38;ES HANDELT SICH UM EINE RECHTSVERNICHTENDE EINWENDUNG;es handelt sich um eine rechtsvernichtende einwendung;2
robin-20070821_de1_de1-39;robin-20070821_de1;de1-39;DIE VON AMTS WEGEN ZU BERÜCKSICHTIGEN IST;die von amts wegen zu berücksichtigen ist;2
robin-20070821_de1_de1-40;robin-20070821_de1;de1-40;DEM GLÄUBIGER FEHLT DIE EMPFANGSZUSTÄNDIGKEIT;dem gläubiger fehlt die empfangszuständigkeit;2
roccoshifo-20160522-fsc_de5-086;roccoshifo-20160522-fsc;de5-086;Norwegen grenzt an Schweden, Finnland und Russland.;norwegen grenzt an schweden finnland und russland;3
roccoshifo-20160522-fsc_de5-087;roccoshifo-20160522-fsc;de5-087;Norwegen ist eine parlamentarische Monarchie.;norwegen ist eine parlamentarische monarchie;3
roccoshifo-20160522-fsc_de5-088;roccoshifo-20160522-fsc;de5-088;Es gibt zahlreiche Buchten an der etwa 20.000 km langen Atlantikküste.;es gibt zahlreiche buchten an der etwa zwanzigtausend kilometer langen atlantikküste;3
roccoshifo-20160522-fsc_de5-089;roccoshifo-20160522-fsc;de5-089;Zahlreiche Wasserfälle gibt es im Landesinnern.;zahlreiche wasserfälle gibt es im landesinnern;3
roccoshifo-20160522-fsc_de5-090;roccoshifo-20160522-fsc;de5-090;Die Zahl der Norweger steigt kontinuierlich an.;die zahl der norweger steigt kontinuierlich an;3
