annettevogt-20180320-rec_segment_0018;annettevogt-20180320-rec;segment_0018;In Dahlem. Wir sind in Berlin Dahlem.;in dahlem wir sind in berlin dahlem;3
annettevogt-20180320-rec_segment_0020;annettevogt-20180320-rec;segment_0020;Oh, unsere Max-Planck-Gesellschaft hat über 80 Institute. *mhm*;oh unsere max planck gesellschaft hat über achtzig institute mhm;3
annettevogt-20180320-rec_segment_0021;annettevogt-20180320-rec;segment_0021;Die meisten beschäftigen sich mit der in Anführungsstrichen harten Wissenschaft: Physik, Chemie, Medizin, Biologie, Molekulargenetik.;die meisten beschäftigen sich mit der in anführungsstrichen harten wissenschaft physik chemie medizin biologie molekulargenetik;3
annettevogt-20180320-rec_segment_0022;annettevogt-20180320-rec;segment_0022;Und dann gibt es eine geisteswissenschaftliche Sektion. Zu der gehören unter anderem zwei kunsthistorische Institute.;und dann gibt es eine geisteswissenschaftliche sektion zu der gehören unter anderem zwei kunsthistorische institute;3
annettevogt-20180320-rec_segment_0023;annettevogt-20180320-rec;segment_0023;In Rom die Bibliotheca Hertziana und in Florenz und unser Institut für Wissenschaftsgeschichte.;in rom die bibliotheca hertziana und in florenz und unser institut für wissenschaftsgeschichte;3
annettevogt-20180320-rec_segment_0024;annettevogt-20180320-rec;segment_0024;Und unser Standort ist BErlin Dahlem.;und unser standort ist berlin dahlem;3
annettevogt-20180320-rec_segment_0025;annettevogt-20180320-rec;segment_0025;Wer sich in Berlin auskennt, in der Nähe vom Henry-Ford-Bau, von der freien Universität.;wer sich in berlin auskennt in der nähe vom henry ford bau von der freien universität;3
annettevogt-20180320-rec_segment_0028;annettevogt-20180320-rec;segment_0028;ist noch relativ jung, verglichen mit;ist noch relativ jung verglichen mit;3
annettevogt-20180320-rec_segment_0029;annettevogt-20180320-rec;segment_0029;Max-Planck-Instituten, die auf;max planck instituten die auf;3
annettevogt-20180320-rec_segment_0030;annettevogt-20180320-rec;segment_0030;70 80 Jahre zurückblicken.;siebzig achtzig jahre zurückblicken;3
annettevogt-20180320-rec_segment_0031;annettevogt-20180320-rec;segment_0031;Wir sind 1994 gegründet worden;wir sind neunzehnhundertvierundneunzig gegründet worden;3
annettevogt-20180320-rec_segment_0032;annettevogt-20180320-rec;segment_0032;und einer der Gründe ist, dass das Fach Wissenschaftsgeschichte wichtig ist, aber an den Universitäten noch nicht so;und einer der gründe ist dass das fach wissenschaftsgeschichte wichtig ist aber an den universitäten noch nicht so;3
annettevogt-20180320-rec_segment_0033;annettevogt-20180320-rec;segment_0033;wirklich gut verankert und entwickelt ist. Und;wirklich gut verankert und entwickelt ist und;3
annettevogt-20180320-rec_segment_0034;annettevogt-20180320-rec;segment_0034;deshalb ist dann unser Max-Planck-Institut gegründet worden, mit einer breiten Ausrichtung, mit einer sehr internationalen Ausrichtung.;deshalb ist dann unser max planck institut gegründet worden mit einer breiten ausrichtung mit einer sehr internationalen ausrichtung;3
annettevogt-20180320-rec_segment_0035;annettevogt-20180320-rec;segment_0035;Weil das ist ja auch wichtig, Wissenschaft ist ja nichts nationales. Da kommen wir ja sicher noch drauf.;weil das ist ja auch wichtig wissenschaft ist ja nichts nationales da kommen wir ja sicher noch drauf;3
annettevogt-20180320-rec_segment_0036;annettevogt-20180320-rec;segment_0036;Sie wird zwar national finanziert, betrieben, aber sie ist per Definition etwas internationales.  Ja.;sie wird zwar national finanziert betrieben aber sie ist per definition etwas internationales ja;3
annettevogt-20180320-rec_segment_0037;annettevogt-20180320-rec;segment_0037;Und deshalb ist auch eine internationale Ausrichtung wichtig. Also internationale Ausrichtung im Sinne von, dass man;und deshalb ist auch eine internationale ausrichtung wichtig also internationale ausrichtung im sinne von dass man;3
annettevogt-20180320-rec_segment_0040;annettevogt-20180320-rec;segment_0040;*eh* kooperieren wir sehr viel mit;eh kooperieren wir sehr viel mit;3
annettevogt-20180320-rec_segment_0041;annettevogt-20180320-rec;segment_0041;Kollegen von China bis USA. *mhm*;kollegen von china bis usa mhm;3
annettevogt-20180320-rec_segment_0044;annettevogt-20180320-rec;segment_0044;zwei Wegen kommen. Und *eh* wenn wenn wir gucken, international gibt es auch immer diese beiden Möglichkeiten. Man studiert;zwei wegen kommen und eh wenn wenn wir gucken international gibt es auch immer diese beiden möglichkeiten man studiert;3
annettevogt-20180320-rec_segment_0045;annettevogt-20180320-rec;segment_0045;Geschichte oder Philosophie oder Wissenschaftstheorie;geschichte oder philosophie oder wissenschaftstheorie;3
annettevogt-20180320-rec_segment_0046;annettevogt-20180320-rec;segment_0046;und interessiert sich von dort dann für die Geschichte der Wissenschaft, und;und interessiert sich von dort dann für die geschichte der wissenschaft und;3
annettevogt-20180320-rec_segment_0047;annettevogt-20180320-rec;segment_0047;hat dann die Idee, ich;hat dann die idee ich;3
annettevogt-20180320-rec_segment_0048;annettevogt-20180320-rec;segment_0048;betreibe eher Geschichte, als;betreibe eher geschichte als;3
annettevogt-20180320-rec_segment_0049;annettevogt-20180320-rec;segment_0049;theoretische wissenschaftsphilosophische Fragestellungen zu behandeln. Oder der andere Weg ist, man studiert;theoretische wissenschaftsphilosophische fragestellungen zu behandeln oder der andere weg ist man studiert;3
annettevogt-20180320-rec_segment_0050;annettevogt-20180320-rec;segment_0050;eine der Disziplinen. Also Wissenschaft ist ja aufgefächert;eine der disziplinen also wissenschaft ist ja aufgefächert;3
annettevogt-20180320-rec_segment_0051;annettevogt-20180320-rec;segment_0051;von Archäologie bis Z Zoologie.;von archäologie bis z zoologie;3
annettevogt-20180320-rec_segment_0052;annettevogt-20180320-rec;segment_0052;Man studiert eine dieser Disziplinen;man studiert eine dieser disziplinen;3
annettevogt-20180320-rec_segment_0053;annettevogt-20180320-rec;segment_0053;und interessiert sich dann für die Geschichte der Disziplin. Ja;und interessiert sich dann für die geschichte der disziplin ja;3
annettevogt-20180320-rec_segment_0054;annettevogt-20180320-rec;segment_0054;Und stellt dann natürlich Querbezüge her und und *eh* versucht;und stellt dann natürlich querbezüge her und und eh versucht;3
annettevogt-20180320-rec_segment_0055;annettevogt-20180320-rec;segment_0055;mit Hilfe von philosophischen Fragestellungen anders auf die Geschichte dieser Disziplin zu gucken, als wenn man es;mit hilfe von philosophischen fragestellungen anders auf die geschichte dieser disziplin zu gucken als wenn man es;3
annettevogt-20180320-rec_segment_0056;annettevogt-20180320-rec;segment_0056;machen würde, nur als Mathematiker zur Geschichte der Mathematik zu gucken. Und bei mir ist es in der Tat dieser zweite Weg gewesen.;machen würde nur als mathematiker zur geschichte der mathematik zu gucken und bei mir ist es in der tat dieser zweite weg gewesen;3
annettevogt-20180320-rec_segment_0057;annettevogt-20180320-rec;segment_0057;Ich hab Mathematik studiert.;ich hab mathematik studiert;3
annettevogt-20180320-rec_segment_0058;annettevogt-20180320-rec;segment_0058;Ich hab auch mein Diplom in Mathematik.;ich hab auch mein diplom in mathematik;3
annettevogt-20180320-rec_segment_0059;annettevogt-20180320-rec;segment_0059;Und das habe ich damals gemacht zur Fragestellung in der Funktionalanalysis. Und wenn Sie Mathematik studieren,;und das habe ich damals gemacht zur fragestellung in der funktionalanalysis und wenn sie mathematik studieren;3
annettevogt-20180320-rec_segment_0060;annettevogt-20180320-rec;segment_0060;wir Mathematiker haben dann gerne Sätze nach Personen benannt. Und dann hören Sie was von;wir mathematiker haben dann gerne sätze nach personen benannt und dann hören sie was von;3
annettevogt-20180320-rec_segment_0061;annettevogt-20180320-rec;segment_0061;der Eulerschen Zahl. Vom Cauchyschen-Konvergenzkriterium oder vom Satz von Weierstraß;der eulerschen zahl vom cauchyschen konvergenzkriterium oder vom satz von weierstraß;3
annettevogt-20180320-rec_segment_0062;annettevogt-20180320-rec;segment_0062;oder die Riemannsche Vermutung, die bis heute immer noch nicht bewiesen ist *mhm* übrigens;oder die riemannsche vermutung die bis heute immer noch nicht bewiesen ist mhm übrigens;3
annettevogt-20180320-rec_segment_0063;annettevogt-20180320-rec;segment_0063;und dann sagt man sich, ja;und dann sagt man sich ja;3
annettevogt-20180320-rec_segment_0064;annettevogt-20180320-rec;segment_0064;wer waren die? Und warum haben die dieses entwickelt? Und was ist da passiert? Und so bin ich also zur Geschichte der Mathematik gekommen;wer waren die und warum haben die dieses entwickelt und was ist da passiert und so bin ich also zur geschichte der mathematik gekommen;3
annettevogt-20180320-rec_segment_0065;annettevogt-20180320-rec;segment_0065;und fand das dann also spannender;und fand das dann also spannender;3
annettevogt-20180320-rec_segment_0066;annettevogt-20180320-rec;segment_0066;als *eh* ja;als eh ja;3
annettevogt-20180320-rec_segment_0067;annettevogt-20180320-rec;segment_0067;zu sitzen und zu versuchen, ein Lemma zu beweisen oder die Riemannsche Vermutung. *hehe*;zu sitzen und zu versuchen ein lemma zu beweisen oder die riemannsche vermutung hehe;3
annettevogt-20180320-rec_segment_0069;annettevogt-20180320-rec;segment_0069;Und Riemann hatte eben vermutet, wie die;und riemann hatte eben vermutet wie die;3
annettevogt-20180320-rec_segment_0070;annettevogt-20180320-rec;segment_0070;*eh* sich verteilen und mit Hilfe der Computer kann man die Primzahlen finden;eh sich verteilen und mit hilfe der computer kann man die primzahlen finden;3
annettevogt-20180320-rec_segment_0071;annettevogt-20180320-rec;segment_0071;und bis jetzt scheint es so, dass diese Vermutung stimmt, aber es ist kein mathematischer Beweis bis jetzt ja gegeben worden.;und bis jetzt scheint es so dass diese vermutung stimmt aber es ist kein mathematischer beweis bis jetzt ja gegeben worden;3
