lindajohnson-11_lj001-0001;lindajohnson-11;lj001-0001;Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition;printing , in the only sense with which we are at present concerned , differs from most if not from all the arts and crafts represented in the exhibition;2
lindajohnson-11_lj001-0002;lindajohnson-11;lj001-0002;in being comparatively modern.;in being comparatively modern .;2
lindajohnson-11_lj001-0003;lindajohnson-11;lj001-0003;For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process;for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands , by a similar process;2
lindajohnson-11_lj001-0004;lindajohnson-11;lj001-0004;produced the block books, which were the immediate predecessors of the true printed book,;produced the block books , which were the immediate predecessors of the true printed book ,;2
lindajohnson-11_lj001-0005;lindajohnson-11;lj001-0005;the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.;the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing .;2
lindajohnson-11_lj001-0006;lindajohnson-11;lj001-0006;And it is worth mention in passing that, as an example of fine typography,;and it is worth mention in passing that , as an example of fine typography ,;2
lindajohnson-11_lj001-0007;lindajohnson-11;lj001-0007;the earliest book printed with movable types, the Gutenberg, or "forty-two line Bible" of about fourteen fifty-five,;the earliest book printed with movable types , the gutenberg , or " forty - two line bible " of about fourteen fifty - five ,;0
lindajohnson-11_lj001-0008;lindajohnson-11;lj001-0008;has never been surpassed.;has never been surpassed .;2
lindajohnson-11_lj001-0009;lindajohnson-11;lj001-0009;Printing, then, for our purpose, may be considered as the art of making books by means of movable types.;printing , then , for our purpose , may be considered as the art of making books by means of movable types .;2
lindajohnson-11_lj001-0010;lindajohnson-11;lj001-0010;Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,;now , as all books not primarily intended as picture - books consist principally of types composed to form letterpress ,;2
lindajohnson-11_lj001-0011;lindajohnson-11;lj001-0011;it is of the first importance that the letter used should be fine in form,;it is of the first importance that the letter used should be fine in form ,;2
lindajohnson-11_lj001-0012;lindajohnson-11;lj001-0012;especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters;especially as no more time is occupied , or cost incurred , in casting , setting , or printing beautiful letters;2
lindajohnson-11_lj001-0013;lindajohnson-11;lj001-0013;than in the same operations with ugly ones.;than in the same operations with ugly ones .;0
lindajohnson-11_lj001-0014;lindajohnson-11;lj001-0014;And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,;and it was a matter of course that in the middle ages , when the craftsmen took care that beautiful form should always be a part of their productions whatever they were ,;2
lindajohnson-11_lj001-0015;lindajohnson-11;lj001-0015;the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.;the forms of printed letters should be beautiful , and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves .;2
lindajohnson-11_lj001-0016;lindajohnson-11;lj001-0016;The Middle Ages brought calligraphy to perfection, and it was natural therefore;the middle ages brought calligraphy to perfection , and it was natural therefore;2
lindajohnson-11_lj001-0017;lindajohnson-11;lj001-0017;that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.;that the forms of printed letters should follow more or less closely those of the written character , and they followed them very closely .;2
lindajohnson-11_lj001-0018;lindajohnson-11;lj001-0018;The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,;the first books were printed in black letter , i . e . the letter which was a gothic development of the ancient roman character ,;2
lindajohnson-11_lj001-0019;lindajohnson-11;lj001-0019;and which developed more completely and satisfactorily on the side of the "lower-case" than the capital letters,;and which developed more completely and satisfactorily on the side of the " lower - case " than the capital letters ,;2
lindajohnson-11_lj001-0020;lindajohnson-11;lj001-0020;the "lower-case" being in fact invented in the early Middle Ages.;the " lower - case " being in fact invented in the early middle ages .;2
