pszacherski-20080311-jsq_de3-34;pszacherski-20080311-jsq;de3-34;BEI DER FREQUENZANALYSE WIRD DIE HÄUFIGKEIT VON BUCHSTABEN GEZÄHLT;bei der frequenzanalyse wird die häufigkeit von buchstaben gezählt;2
pszacherski-20080311-jsq_de3-35;pszacherski-20080311-jsq;de3-35;JE LÄNGER DIE GEHEIME NACHRICHT IST DESTO GRÖßER IST DIE GENAUIGKEIT;je länger die geheime nachricht ist desto größer ist die genauigkeit;2
pszacherski-20080311-jsq_de3-36;pszacherski-20080311-jsq;de3-36;LANGE NACHRICHTEN SIND ERHEBLICH EINFACHER ZU ENTSCHLÜSSELN ALS KURZE NACHRICHTEN;lange nachrichten sind erheblich einfacher zu entschlüsseln als kurze nachrichten;2
pszacherski-20080311-jsq_de3-37;pszacherski-20080311-jsq;de3-37;DIE DATENÜBERTRAGUNGSRATE WIRD IN BITS PRO SEKUNDE ANGEGEBEN;die datenübertragungsrate wird in bits pro sekunde angegeben;2
pszacherski-20080311-jsq_de3-38;pszacherski-20080311-jsq;de3-38;ES HANDELT SICH NICHT UM DIE ENTFERNUNG PRO ZEITEINHEIT;es handelt sich nicht um die entfernung pro zeiteinheit;2
pszacherski-20080311-jsq_de3-39;pszacherski-20080311-jsq;de3-39;SONDERN UM DIE DATENMENGE;sondern um die datenmenge;2
pszacherski-20080311-jsq_de3-40;pszacherski-20080311-jsq;de3-40;HÄUFIG WERDEN AUCH ANDERE ABKÜRZUNGEN VERWENDET;häufig werden auch andere abkürzungen verwendet;2
pszacherski-20080311-jsq_de3-41;pszacherski-20080311-jsq;de3-41;HIERBEI BESTEHT EINE EINFACHE VERWECHSLUNGSGEFAHR;hierbei besteht eine einfache verwechslungsgefahr;2
pszacherski-20080311-jsq_de3-42;pszacherski-20080311-jsq;de3-42;IN ABKÜRZUNGEN WIRD DAHER HÄUFIG DIESE ANGABE UNTERSCHLAGEN;in abkürzungen wird daher häufig diese angabe unterschlagen;2
pszacherski-20080311-jsq_de3-43;pszacherski-20080311-jsq;de3-43;DARUNTER KÖNNEN SICH VIELE TEILNEHMER ETWAS VORSTELLEN;darunter können sich viele teilnehmer etwas vorstellen;2
pszacherski-20080311-mqa_de5-072;pszacherski-20080311-mqa;de5-072;WELCHE PERSONEN GELTEN ALS VERSCHULDENSFÄHIG;welche personen gelten als verschuldensfähig;2
pszacherski-20080311-mqa_de5-073;pszacherski-20080311-mqa;de5-073;SCHULDUNFÄHIG IST WER DAS SIEBTE LEBENSJAHR NOCH NICHT VOLLENDET HAT;schuldunfähig ist wer das siebte lebensjahr noch nicht vollendet hat;2
pszacherski-20080311-mqa_de5-074;pszacherski-20080311-mqa;de5-074;IM ZUSTAND DER BEWUSSTLOSIGKEIT HAT JEMAND EINER ANDEREN PERSON SCHADEN ZUGEFÜGT;im zustand der bewusstlosigkeit hat jemand einer anderen person schaden zugefügt;2
pszacherski-20080311-mqa_de5-075;pszacherski-20080311-mqa;de5-075;DIE VERANTWORTLICHKEIT LIEGT NICHT VOR WENN MAN;die verantwortlichkeit liegt nicht vor wenn man;2
pszacherski-20080311-mqa_de5-076;pszacherski-20080311-mqa;de5-076;OHNE VERSCHULDEN ALKOHOLISIERT WORDEN IST;ohne verschulden alkoholisiert worden ist;2
pszacherski-20080311-mqa_de5-077;pszacherski-20080311-mqa;de5-077;ES HANDELT SICH UM EINE HOCHEBENE IN BONN;es handelt sich um eine hochebene in bonn;2
pszacherski-20080311-mqa_de5-078;pszacherski-20080311-mqa;de5-078;IM ZWEITEN WELTKRIEG BEFANDEN SICH IN DEUTSCHLAND VIELE KASERNEN;im zweiten weltkrieg befanden sich in deutschland viele kasernen;2
pszacherski-20080311-mqa_de5-079;pszacherski-20080311-mqa;de5-079;IM ANGRENZENDEN KOTTENFORST GAB ES MUNITIONSLAGER;im angrenzenden kottenforst gab es munitionslager;2
